nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority,ownedBy,ownedByName
AAC HLDGS INC,000307108,4,533,SH,,DFND,2,533,0,0,1000275,ROYAL  BANK  OF  CANAD
AAC HLDGS INC,000307108,19,2688,SH,,DFND,3,2688,0,0,1000275,ROYAL  BANK  OF  CANAD
AAC HLDGS INC,000307108,0,23,SH,,DFND,5,23,0,0,1000275,ROYAL  BANK  OF  CANAD
AAC HLDGS INC,000307108,4,512,SH,,DFND,15,512,0,0,1000275,ROYAL  BANK  OF  CANAD
AAON INC,000360206,74,2246,SH,,DFND,2,2246,0,0,1000275,ROYAL  BANK  OF  CANAD
AAON INC,000360206,322,9749,SH,,DFND,3,9281,0,468,1000275,ROYAL  BANK  OF  CANAD
AAON INC,000360206,0,2,SH,,DFND,5,2,0,0,1000275,ROYAL  BANK  OF  CANAD
AAR CORP,000361105,75,2277,SH,,DFND,2,2277,0,0,1000275,ROYAL  BANK  OF  CANAD
AAR CORP,000361105,0,3,SH,,DFND,5,3,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,889,42188,SH,,DFND,3,38880,0,3308,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,23657,1122774,SH,,DFND,5,1122774,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,99,4675,SH,,DFND,7,0,4675,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,1093,51866,SH,,DFND,8,51866,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,17,793,SH,,DFND,15,793,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,17,798,SH,,DFND,21,798,0,0,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,16,750,SH,,DFND,24,0,0,750,1000275,ROYAL  BANK  OF  CANAD
ABB LTD,000375204,0,7,SH,,SOLE,,7,0,0,1000275,ROYAL  BANK  OF  CANAD
ACNB CORP,000868109,6,207,SH,,DFND,2,207,0,0,1000275,ROYAL  BANK  OF  CANAD
ACNB CORP,000868109,33,1051,SH,,DFND,3,1051,0,0,1000275,ROYAL  BANK  OF  CANAD
ACNB CORP,000868109,48,1543,SH,,DFND,21,1543,0,0,1000275,ROYAL  BANK  OF  CANAD
ABM INDS INC,000957100,146,3587,SH,,DFND,2,3587,0,0,1000275,ROYAL  BANK  OF  CANAD
ABM INDS INC,000957100,235,5750,SH,,DFND,3,5750,0,0,1000275,ROYAL  BANK  OF  CANAD
ABM INDS INC,000957100,0,3,SH,,DFND,5,3,0,0,1000275,ROYAL  BANK  OF  CANAD
AEP INDS INC,001031103,41,356,SH,,DFND,2,356,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,6013,86400,SH,Put,DFND,3,86400,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,18226,261873,SH,,DFND,1,261873,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,718,10318,SH,,DFND,2,10318,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,8870,127449,SH,,DFND,3,121473,0,5976,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,22557,324096,SH,,DFND,5,324096,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,826,11869,SH,,DFND,8,7969,3900,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,314,4516,SH,,DFND,15,4516,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,127,1819,SH,,DFND,19,1819,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,39,558,SH,,OTR,19,0,0,558,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,612,8799,SH,,DFND,21,8089,0,710,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,84,1200,SH,,DFND,23,1200,0,0,1000275,ROYAL  BANK  OF  CANAD
AFLAC INC,001055102,97,1398,SH,,DFND,24,0,0,1398,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,5034,87000,SH,,DFND,1,87000,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,205,3543,SH,,DFND,2,3543,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,3089,53392,SH,,DFND,3,41343,0,12049,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,35,600,SH,,DFND,5,600,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,17,288,SH,,DFND,15,288,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,965,16679,SH,,DFND,19,16679,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,69,1191,SH,,OTR,19,1191,0,0,1000275,ROYAL  BANK  OF  CANAD
AGCO CORP,001084102,0,8,SH,,DFND,21,8,0,0,1000275,ROYAL  BANK  OF  CANAD
AG MTG INVT TR INC,001228105,28,1636,SH,,DFND,2,1636,0,0,1000275,ROYAL  BANK  OF  CANAD
AG MTG INVT TR INC,001228105,74,4308,SH,,DFND,3,4308,0,0,1000275,ROYAL  BANK  OF  CANAD
AG MTG INVT TR INC,001228105,577,33720,SH,,DFND,4,0,33720,0,1000275,ROYAL  BANK  OF  CANAD
AG MTG INVT TR INC,001228105,321,18750,SH,,DFND,7,0,18750,0,1000275,ROYAL  BANK  OF  CANAD
A H BELO CORP,001282102,0,77,SH,,DFND,3,77,0,0,1000275,ROYAL  BANK  OF  CANAD
A H BELO CORP,001282102,83,13100,SH,,DFND,4,0,13100,0,1000275,ROYAL  BANK  OF  CANAD
AK STL HLDG CORP,001547108,217,21284,SH,,DFND,2,21284,0,0,1000275,ROYAL  BANK  OF  CANAD
AK STL HLDG CORP,001547108,3767,368984,SH,,DFND,3,362015,0,6969,1000275,ROYAL  BANK  OF  CANAD
AK STL HLDG CORP,001547108,46,4472,SH,,DFND,5,4472,0,0,1000275,ROYAL  BANK  OF  CANAD
AK STL HLDG CORP,001547108,4,432,SH,,DFND,11,432,0,0,1000275,ROYAL  BANK  OF  CANAD
ALJ REGIONAL HLDGS INC,001627108,6,1280,SH,,DFND,2,1280,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,95,2482,SH,,DFND,2,2482,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,42,1085,SH,,DFND,3,1020,0,65,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,8,200,SH,,DFND,8,200,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,2,40,SH,,DFND,15,40,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,2,63,SH,,DFND,21,63,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,5023,130634,SH,,DFND,23,123989,0,6645,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,658,17122,SH,,OTR,23,0,0,17122,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,1398,36354,SH,,DFND,27;23,36354,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,1961,51007,SH,,DFND,28;23,51007,0,0,1000275,ROYAL  BANK  OF  CANAD
AMN HEALTHCARE SERVICES INC,001744101,2103,54707,SH,,DFND,30;23,54707,0,0,1000275,ROYAL  BANK  OF  CANAD
A10 NETWORKS INC,002121101,19,2282,SH,,DFND,2,2282,0,0,1000275,ROYAL  BANK  OF  CANAD
A10 NETWORKS INC,002121101,20,2400,SH,,DFND,3,2100,0,300,1000275,ROYAL  BANK  OF  CANAD
A10 NETWORKS INC,002121101,1,126,SH,,DFND,5,126,0,0,1000275,ROYAL  BANK  OF  CANAD
AU OPTRONICS CORP,002255107,1,200,SH,,DFND,2,200,0,0,1000275,ROYAL  BANK  OF  CANAD
AVX CORP NEW,002444107,49,3144,SH,,DFND,2,3144,0,0,1000275,ROYAL  BANK  OF  CANAD
AVX CORP NEW,002444107,1,48,SH,,DFND,5,48,0,0,1000275,ROYAL  BANK  OF  CANAD
AZZ INC,002474104,116,1815,SH,,DFND,2,1815,0,0,1000275,ROYAL  BANK  OF  CANAD
AZZ INC,002474104,64,1000,SH,,DFND,3,500,0,500,1000275,ROYAL  BANK  OF  CANAD
AZZ INC,002474104,66200,1035993,SH,,DFND,4,0,891292,144701,1000275,ROYAL  BANK  OF  CANAD
AZZ INC,002474104,29,450,SH,,DFND,5,450,0,0,1000275,ROYAL  BANK  OF  CANAD
AARONS INC,002535300,233,7285,SH,,DFND,2,7285,0,0,1000275,ROYAL  BANK  OF  CANAD
AARONS INC,002535300,199,6224,SH,,DFND,3,6224,0,0,1000275,ROYAL  BANK  OF  CANAD
AARONS INC,002535300,112,3509,SH,,DFND,5,3509,0,0,1000275,ROYAL  BANK  OF  CANAD
ABAXIS INC,002567105,68,1283,SH,,DFND,2,1283,0,0,1000275,ROYAL  BANK  OF  CANAD
ABAXIS INC,002567105,94,1776,SH,,DFND,3,1704,0,72,1000275,ROYAL  BANK  OF  CANAD
ABAXIS INC,002567105,24848,470876,SH,,DFND,4,0,273486,197390,1000275,ROYAL  BANK  OF  CANAD
ABAXIS INC,002567105,10,183,SH,,DFND,19,183,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,3246,84500,SH,Call,DFND,3,84500,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,557,14500,SH,Put,DFND,3,14500,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,1840,47907,SH,,DFND,1,47907,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,1307,34029,SH,,DFND,2,34029,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,55882,1454890,SH,,DFND,3,1222807,0,232083,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,52636,1370366,SH,,DFND,5,1370366,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,2821,73455,SH,,DFND,7,0,73455,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,1991,51839,SH,,DFND,8,39430,12409,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,19,495,SH,,DFND,9,495,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,614,15977,SH,,DFND,15,15977,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,1168,30405,SH,,DFND,19,30405,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,27,703,SH,,OTR,19,440,0,263,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,5604,145904,SH,,DFND,21,141426,0,4478,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,10438,271761,SH,,DFND,23,196355,0,75406,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,497,12950,SH,,OTR,23,12950,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,2099,54643,SH,,DFND,24,1500,0,53143,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,457,11890,SH,,DFND,29,11890,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,102,2668,SH,,DFND,,2668,0,0,1000275,ROYAL  BANK  OF  CANAD
ABBOTT LABS,002824100,153,3979,SH,,SOLE,,3979,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERCROMBIE & FITCH CO,002896207,360,30000,SH,Call,DFND,2,30000,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERCROMBIE & FITCH CO,002896207,12,1000,SH,Put,DFND,2,1000,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERCROMBIE & FITCH CO,002896207,51,4221,SH,,DFND,2,4221,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERCROMBIE & FITCH CO,002896207,596,49643,SH,,DFND,3,49643,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERCROMBIE & FITCH CO,002896207,1,68,SH,,DFND,15,68,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERCROMBIE & FITCH CO,002896207,282,23481,SH,,SOLE,,23481,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERDEEN ASIA PACIFIC INCOM,003009107,7,1501,SH,,DFND,2,1501,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERDEEN ASIA PACIFIC INCOM,003009107,7410,1600338,SH,,DFND,3,1402738,0,197600,1000275,ROYAL  BANK  OF  CANAD
ABERDEEN ASIA PACIFIC INCOM,003009107,232,50128,SH,,DFND,5,50128,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERDEEN ASIA PACIFIC INCOM,003009107,21,4500,SH,,DFND,21,4500,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERDEEN ASIA PACIFIC INCOM,003009107,579,125000,SH,,DFND,29,125000,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERDEEN AUSTRALIA EQTY FD I,003011103,26,4871,SH,,DFND,3,4000,0,871,1000275,ROYAL  BANK  OF  CANAD
ABERDEEN GLOBAL INCOME FD IN,003013109,2,200,SH,,DFND,3,200,0,0,1000275,ROYAL  BANK  OF  CANAD
ABERDEEN SINGAPORE FD INC,003244100,182,21007,SH,,DFND,3,19685,0,1322,1000275,ROYAL  BANK  OF  CANAD
ABIOMED INC,003654100,596,5288,SH,,DFND,1,5288,0,0,1000275,ROYAL  BANK  OF  CANAD
ABIOMED INC,003654100,129,1145,SH,,DFND,2,1145,0,0,1000275,ROYAL  BANK  OF  CANAD
ABIOMED INC,003654100,1401,12435,SH,,DFND,3,11485,0,950,1000275,ROYAL  BANK  OF  CANAD
ABIOMED INC,003654100,57381,509237,SH,,DFND,4,0,338357,170880,1000275,ROYAL  BANK  OF  CANAD
ABIOMED INC,003654100,22,199,SH,,DFND,5,199,0,0,1000275,ROYAL  BANK  OF  CANAD
ABIOMED INC,003654100,1,6,SH,,DFND,15,6,0,0,1000275,ROYAL  BANK  OF  CANAD
ABIOMED INC,003654100,8,69,SH,,DFND,21,69,0,0,1000275,ROYAL  BANK  OF  CANAD
ABRAXAS PETE CORP,003830106,22,8684,SH,,DFND,2,8684,0,0,1000275,ROYAL  BANK  OF  CANAD
ACACIA RESH CORP,003881307,26,3924,SH,,DFND,2,3924,0,0,1000275,ROYAL  BANK  OF  CANAD
ACACIA RESH CORP,003881307,141,21706,SH,,DFND,3,8815,0,12891,1000275,ROYAL  BANK  OF  CANAD
ACACIA RESH CORP,003881307,0,64,SH,,DFND,5,64,0,0,1000275,ROYAL  BANK  OF  CANAD
ACACIA RESH CORP,003881307,3,420,SH,,DFND,19,420,0,0,1000275,ROYAL  BANK  OF  CANAD
ACACIA RESH CORP,003881307,89,13728,SH,,DFND,21,13728,0,0,1000275,ROYAL  BANK  OF  CANAD
ACADEMY FDS TR,004006508,249,10298,SH,,DFND,2,10298,0,0,1000275,ROYAL  BANK  OF  CANAD
ACADEMY FDS TR,004006508,89,3670,SH,,DFND,3,3140,0,530,1000275,ROYAL  BANK  OF  CANAD
ACADIA PHARMACEUTICALS INC,004225108,1030,35700,SH,,DFND,3,32500,0,3200,1000275,ROYAL  BANK  OF  CANAD
ACADIA PHARMACEUTICALS INC,004225108,23,800,SH,,DFND,5,800,0,0,1000275,ROYAL  BANK  OF  CANAD
ACADIA PHARMACEUTICALS INC,004225108,188,6520,SH,,DFND,15,6520,0,0,1000275,ROYAL  BANK  OF  CANAD
ACADIA PHARMACEUTICALS INC,004225108,1,27,SH,,DFND,19,27,0,0,1000275,ROYAL  BANK  OF  CANAD
ACADIA PHARMACEUTICALS INC,004225108,5,166,SH,,DFND,23,34,0,132,1000275,ROYAL  BANK  OF  CANAD
ACADIA RLTY TR,004239109,163,4993,SH,,DFND,2,4993,0,0,1000275,ROYAL  BANK  OF  CANAD
ACADIA RLTY TR,004239109,43,1301,SH,,DFND,3,1301,0,0,1000275,ROYAL  BANK  OF  CANAD
ACADIA RLTY TR,004239109,0,12,SH,,DFND,5,12,0,0,1000275,ROYAL  BANK  OF  CANAD
ACADIA RLTY TR,004239109,1,32,SH,,OTR,19,0,0,32,1000275,ROYAL  BANK  OF  CANAD
ACCESS NATL CORP,004337101,13,486,SH,,DFND,2,486,0,0,1000275,ROYAL  BANK  OF  CANAD
ACCESS NATL CORP,004337101,133,4800,SH,,DFND,3,2000,0,2800,1000275,ROYAL  BANK  OF  CANAD
ACCURAY INC,004397105,25,5510,SH,,DFND,2,5510,0,0,1000275,ROYAL  BANK  OF  CANAD
ACCURAY INC,004397105,0,58,SH,,DFND,3,58,0,0,1000275,ROYAL  BANK  OF  CANAD
ACCURAY INC,004397105,0,82,SH,,DFND,5,82,0,0,1000275,ROYAL  BANK  OF  CANAD
ACETO CORP,004446100,34,1553,SH,,DFND,2,1553,0,0,1000275,ROYAL  BANK  OF  CANAD
ACETO CORP,004446100,2,103,SH,,DFND,3,103,0,0,1000275,ROYAL  BANK  OF  CANAD
ACETO CORP,004446100,16976,772671,SH,,DFND,4,0,453586,319085,1000275,ROYAL  BANK  OF  CANAD
ACETO CORP,004446100,0,11,SH,,DFND,5,11,0,0,1000275,ROYAL  BANK  OF  CANAD
ACETO CORP,004446100,1,54,SH,,DFND,21,54,0,0,1000275,ROYAL  BANK  OF  CANAD
ACI WORLDWIDE INC,004498101,251,13819,SH,,DFND,2,13819,0,0,1000275,ROYAL  BANK  OF  CANAD
ACI WORLDWIDE INC,004498101,696,38330,SH,,DFND,3,37239,0,1091,1000275,ROYAL  BANK  OF  CANAD
ACI WORLDWIDE INC,004498101,2,131,SH,,DFND,15,131,0,0,1000275,ROYAL  BANK  OF  CANAD
ACI WORLDWIDE INC,004498101,1,56,SH,,DFND,21,56,0,0,1000275,ROYAL  BANK  OF  CANAD
ACTUA CORP,005094107,34,2406,SH,,DFND,2,2406,0,0,1000275,ROYAL  BANK  OF  CANAD
ACTUA CORP,005094107,0,7,SH,,DFND,3,7,0,0,1000275,ROYAL  BANK  OF  CANAD
ACTUA CORP,005094107,462,33000,SH,,DFND,,33000,0,0,1000275,ROYAL  BANK  OF  CANAD
ACUSHNET HOLDINGS CORP,005098108,28,1401,SH,,DFND,2,1401,0,0,1000275,ROYAL  BANK  OF  CANAD
ACUSHNET HOLDINGS CORP,005098108,154,7800,SH,,DFND,3,7800,0,0,1000275,ROYAL  BANK  OF  CANAD
ACXIOM CORP,005125109,251,9382,SH,,DFND,2,9382,0,0,1000275,ROYAL  BANK  OF  CANAD
ACXIOM CORP,005125109,0,7,SH,,DFND,5,7,0,0,1000275,ROYAL  BANK  OF  CANAD
ACXIOM CORP,005125109,21,802,SH,,OTR,19,0,0,802,1000275,ROYAL  BANK  OF  CANAD
ADAMS DIVERSIFIED EQUITY FD,006212104,4694,369295,SH,,DFND,3,344846,0,24449,1000275,ROYAL  BANK  OF  CANAD
ADAMS DIVERSIFIED EQUITY FD,006212104,0,2,SH,,DFND,21,2,0,0,1000275,ROYAL  BANK  OF  CANAD
ADAMS RES & ENERGY INC,006351308,2,55,SH,,DFND,2,55,0,0,1000275,ROYAL  BANK  OF  CANAD
ADDUS HOMECARE CORP,006739106,16,459,SH,,DFND,2,459,0,0,1000275,ROYAL  BANK  OF  CANAD
ADEPTUS HEALTH INC,006855100,1,108,SH,,DFND,2,108,0,0,1000275,ROYAL  BANK  OF  CANAD
ADEPTUS HEALTH INC,006855100,234,30600,SH,,DFND,4,0,30600,0,1000275,ROYAL  BANK  OF  CANAD
ADVAXIS INC,007624208,9,1228,SH,,DFND,2,1228,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVAXIS INC,007624208,2,240,SH,,DFND,21,240,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVENT CLAY CONV SEC INC FD,007639107,129,22009,SH,,DFND,3,20402,0,1607,1000275,ROYAL  BANK  OF  CANAD
AEROHIVE NETWORKS INC,007786106,9,1620,SH,,DFND,2,1620,0,0,1000275,ROYAL  BANK  OF  CANAD
AEROHIVE NETWORKS INC,007786106,37,6500,SH,,DFND,5,6500,0,0,1000275,ROYAL  BANK  OF  CANAD
AEROJET ROCKETDYNE HLDGS INC,007800105,74,4112,SH,,DFND,2,4112,0,0,1000275,ROYAL  BANK  OF  CANAD
AEROJET ROCKETDYNE HLDGS INC,007800105,12,650,SH,,DFND,3,650,0,0,1000275,ROYAL  BANK  OF  CANAD
AEROJET ROCKETDYNE HLDGS INC,007800105,239,13300,SH,,DFND,4,0,13300,0,1000275,ROYAL  BANK  OF  CANAD
AEROJET ROCKETDYNE HLDGS INC,007800105,0,20,SH,,DFND,5,20,0,0,1000275,ROYAL  BANK  OF  CANAD
AEROJET ROCKETDYNE HLDGS INC,007800105,21,1175,SH,,DFND,21,1175,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,5042,444600,SH,Call,DFND,3,444600,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,6464,570000,SH,Put,DFND,3,570000,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,1648,145344,SH,,DFND,1,145344,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,1035,91238,SH,,DFND,2,91238,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,2775,244730,SH,,DFND,3,242730,0,2000,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,248,21896,SH,,DFND,5,21896,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,4,380,SH,,DFND,15,380,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,3857,340093,SH,,DFND,23,319881,0,20212,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,621,54794,SH,,OTR,23,0,0,54794,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,1319,116339,SH,,DFND,27;23,116339,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,1585,139729,SH,,DFND,28;23,139729,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED MICRO DEVICES INC,007903107,1985,175074,SH,,DFND,30;23,175074,0,0,1000275,ROYAL  BANK  OF  CANAD
AEGON N V,007924103,3880,701658,SH,,DFND,3,584088,0,117570,1000275,ROYAL  BANK  OF  CANAD
AEGON N V,007924103,1609,290960,SH,,DFND,5,290960,0,0,1000275,ROYAL  BANK  OF  CANAD
AEGON N V,007924103,11,2000,SH,,DFND,8,2000,0,0,1000275,ROYAL  BANK  OF  CANAD
AEGON N V,007924103,1,264,SH,,DFND,11,264,0,0,1000275,ROYAL  BANK  OF  CANAD
AEGON N V,007924103,159,28793,SH,,DFND,15,28793,0,0,1000275,ROYAL  BANK  OF  CANAD
AEGON N V,007924103,4,641,SH,,DFND,19,641,0,0,1000275,ROYAL  BANK  OF  CANAD
AEGON N V,007924103,2,316,SH,,DFND,21,316,0,0,1000275,ROYAL  BANK  OF  CANAD
AEGON N V,007924103,11,2000,SH,,DFND,,2000,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED ENERGY INDS,007973100,88,1609,SH,,DFND,2,1609,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED ENERGY INDS,007973100,790,14433,SH,,DFND,3,13458,0,975,1000275,ROYAL  BANK  OF  CANAD
ADVANCED ENERGY INDS,007973100,462,8442,SH,,DFND,5,8442,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED ENERGY INDS,007973100,3,55,SH,,DFND,15,55,0,0,1000275,ROYAL  BANK  OF  CANAD
ADVANCED ENERGY INDS,007973100,17,309,SH,,OTR,19,0,0,309,1000275,ROYAL  BANK  OF  CANAD
ADVANCED ENERGY INDS,007973100,2,44,SH,,DFND,21,44,0,0,1000275,ROYAL  BANK  OF  CANAD
AETERNA ZENTARIS INC,007975402,0,4,SH,,DFND,3,4,0,0,1000275,ROYAL  BANK  OF  CANAD
AETERNA ZENTARIS INC,007975402,0,44,SH,,DFND,5,44,0,0,1000275,ROYAL  BANK  OF  CANAD
AETERNA ZENTARIS INC,007975402,0,1,SH,,DFND,7,0,1,0,1000275,ROYAL  BANK  OF  CANAD
AEROVIRONMENT INC,008073108,34,1251,SH,,DFND,2,1251,0,0,1000275,ROYAL  BANK  OF  CANAD
AEROVIRONMENT INC,008073108,18,671,SH,,DFND,3,519,0,152,1000275,ROYAL  BANK  OF  CANAD
AEROVIRONMENT INC,008073108,0,2,SH,,DFND,5,2,0,0,1000275,ROYAL  BANK  OF  CANAD
AEROVIRONMENT INC,008073108,5,185,SH,,DFND,19,185,0,0,1000275,ROYAL  BANK  OF  CANAD
AEROVIRONMENT INC,008073108,64,2383,SH,,DFND,21,2383,0,0,1000275,ROYAL  BANK  OF  CANAD
AEROVIRONMENT INC,008073108,11,400,SH,,DFND,24,0,0,400,1000275,ROYAL  BANK  OF  CANAD
AFFILIATED MANAGERS GROUP,008252108,6926,47666,SH,,DFND,1,47666,0,0,1000275,ROYAL  BANK  OF  CANAD
AFFILIATED MANAGERS GROUP,008252108,195,1345,SH,,DFND,2,1345,0,0,1000275,ROYAL  BANK  OF  CANAD
AFFILIATED MANAGERS GROUP,008252108,1435,9878,SH,,DFND,3,9790,0,88,1000275,ROYAL  BANK  OF  CANAD
AFFILIATED MANAGERS GROUP,008252108,13657,93994,SH,,DFND,4,0,63621,30373,1000275,ROYAL  BANK  OF  CANAD
AFFILIATED MANAGERS GROUP,008252108,389,2680,SH,,DFND,5,2680,0,0,1000275,ROYAL  BANK  OF  CANAD
AFFILIATED MANAGERS GROUP,008252108,16,111,SH,,DFND,15,111,0,0,1000275,ROYAL  BANK  OF  CANAD
AFFILIATED MANAGERS GROUP,008252108,249,1717,SH,,DFND,19,1717,0,0,1000275,ROYAL  BANK  OF  CANAD
AFFILIATED MANAGERS GROUP,008252108,248,1710,SH,,DFND,21,1570,0,140,1000275,ROYAL  BANK  OF  CANAD
AFFILIATED MANAGERS GROUP,008252108,15,100,SH,,SOLE,,100,0,0,1000275,ROYAL  BANK  OF  CANAD
AGNICO EAGLE MINES LTD,008474108,5460,130000,SH,Call,DFND,3,130000,0,0,1000275,ROYAL  BANK  OF  CANAD
AGNICO EAGLE MINES LTD,008474108,231,5500,SH,Put,DFND,3,5500,0,0,1000275,ROYAL  BANK  OF  CANAD
AGNICO EAGLE MINES LTD,008474108,211551,5036936,SH,,DFND,1,5036936,0,0,1000275,ROYAL  BANK  OF  CANAD
AGNICO EAGLE MINES LTD,008474108,1600,38099,SH,,DFND,3,17096,0,21003,1000275,ROYAL  BANK  OF  CANAD
AGNICO EAGLE MINES LTD,008474108,19606,466799,SH,,DFND,5,466799,0,0,1000275,ROYAL  BANK  OF  CANAD
AGNICO EAGLE MINES LTD,008474108,959,22828,SH,,DFND,7,0,22828,0,1000275,ROYAL  BANK  OF  CANAD
AGNICO EAGLE MINES LTD,008474108,110,2614,SH,,DFND,8,1539,1075,0,1000275,ROYAL  BANK  OF  CANAD
AGNICO EAGLE MINES LTD,008474108,193,4600,SH,,DFND,9,4600,0,0,1000275,ROYAL  BANK  OF  CANAD
