nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority
Generac Holdings Inc.,368736104,1028,18155,SH,,SOLE,0,0,0,0
General Motors,37045V100,1915,46850,SH,,SOLE,0,13730,0,0
Genesee & Wyoming Inc.(Cl A),371559105,1903,19808,SH,,SOLE,0,3900,0,0
Gilead Science,375558103,3334,44395,SH,,SOLE,0,12980,0,0
Globus Medical Inc.,379577208,952,47165,SH,,SOLE,0,0,0,0
Google Inc. (Cl A),38259P508,5587,4985,SH,,SOLE,0,1460,0,0
Green Mountain Coffee Roasters Inc.,393122106,526,6960,SH,,SOLE,0,2030,0,0
Guidewire Software Inc.,40171V100,817,16655,SH,,SOLE,0,0,0,0
Gulfport Energy Corp.,402635304,6,100,SH,,SOLE,0,0,0,0
H.B. Fuller Co.,359694106,875,16810,SH,,SOLE,0,0,0,0
HSN Inc.,404303109,633,10153,SH,,SOLE,0,0,0,0
Hain Celestial Group Inc.,405217100,1037,11425,SH,,SOLE,0,0,0,0
Halozyme Therapeutics Inc.,40637H109,553,36900,SH,,SOLE,0,0,0,0
Harley-Davidson Inc.,412822108,6,85,SH,,SOLE,0,0,0,0
HealthSouth Corp.,421924309,465,13950,SH,,SOLE,0,0,0,0
Hexcel Corp.,428291108,877,19615,SH,,SOLE,0,0,0,0
Hillenbrand Inc.,431571108,1036,35206,SH,,SOLE,0,0,0,0
Hologic,436440101,3,130,SH,,SOLE,0,0,0,0
Home Depot,437076102,2679,32533,SH,,SOLE,0,9508,0,0
Huron Consulting Group Inc.,447462102,838,13370,SH,,SOLE,0,0,0,0
Idexx laboratories,45168D104,3,30,SH,,SOLE,0,0,0,0
Illumina Inc.,452327109,6,50,SH,,SOLE,0,0,0,0
Imperva Inc,45321L100,861,17885,SH,,SOLE,0,0,0,0
Infinera Corp.,45667G103,544,55645,SH,,SOLE,0,0,0,0
Infoblox Inc,45672H104,542,16420,SH,,SOLE,0,0,0,0
Informatica Corp,45666Q102,1258,30305,SH,,SOLE,0,8845,0,0
IntercontinentalExchange Group Inc.,45866F104,8,35,SH,,SOLE,0,0,0,0
International Paper Co.,460146103,4,85,SH,,SOLE,0,0,0,0
Intersil Corp (CL A),46069S109,519,45225,SH,,SOLE,0,0,0,0
Intuit Inc.,461202103,4,55,SH,,SOLE,0,0,0,0
Isis Pharmaceuticals Inc.,464330109,739,18540,SH,,SOLE,0,0,0,0
J.B. Hunt Transport Services Inc.,445658107,3,35,SH,,SOLE,0,0,0,0
J2 Global Inc.,48123V102,959,19166,SH,,SOLE,0,0,0,0
JDS Uniphase,46612J507,3,200,SH,,SOLE,0,0,0,0
Jack Henry & Associates Inc.,426281101,547,9240,SH,,SOLE,0,0,0,0
JetBlue Airlines,477143101,2658,311275,SH,,SOLE,0,60305,0,0
Kansas City Southern,485170302,5,40,SH,,SOLE,0,0,0,0
Kohls Corp,500255104,1,25,SH,,SOLE,0,0,0,0
Kroger Co.,501044101,3,70,SH,,SOLE,0,0,0,0
LKQ Corp.,501889208,3,95,SH,,SOLE,0,0,0,0
Las Vegas Sands Corp.,517834107,1333,16900,SH,,SOLE,0,4950,0,0
LifeLock Inc.,53224V100,679,41365,SH,,SOLE,0,0,0,0
LinkedIn Corporation,53578A108,7,30,SH,,SOLE,0,0,0,0
Lorillard Inc.,544147101,5,90,SH,,SOLE,0,0,0,0
MWI Veterinary Supply Inc.,55402X105,611,3595,SH,,SOLE,0,0,0,0
Macy's Inc.,55616P104,3,55,SH,,SOLE,0,0,0,0
Manitex International Inc.,563420108,955,60125,SH,,SOLE,0,0,0,0
Marketo Inc.,57063L107,372,10045,SH,,SOLE,0,0,0,0
MasterCard Inc. (Cl A),57636Q104,1951,2335,SH,,SOLE,0,687,0,0
Michael Kors Holdings Ltd.,G60754101,1314,16180,SH,,SOLE,0,4720,0,0
Microsemi Corporation,595137100,772,30930,SH,,SOLE,0,0,0,0
Microsoft,594918104,4947,132235,SH,,SOLE,0,39120,0,0
Middleby Corp,596278101,715,2981,SH,,SOLE,0,0,0,0
Monsanto Co.,61166W101,1896,16270,SH,,SOLE,0,4760,0,0
Morgan Stanley,617446448,1326,42270,SH,,SOLE,0,12380,0,0
NIKE Inc.,654106103,2232,28385,SH,,SOLE,0,8315,0,0
Nordstrom Inc.,655664100,3,55,SH,,SOLE,0,0,0,0
O'Reilly Automotive,67103H107,5,35,SH,,SOLE,0,0,0,0
Olympic Steel Inc.,68162K106,602,20760,SH,,SOLE,0,0,0,0
OpenTable Inc.,68372A104,694,8750,SH,,SOLE,0,0,0,0
Oracle Corp.,68389X105,2029,53020,SH,,SOLE,0,15540,0,0
PPG Industries Inc.,693506107,2052,10820,SH,,SOLE,0,3170,0,0
PTC Inc.,69370C100,953,26925,SH,,SOLE,0,0,0,0
PacWest Bancorp,695263103,861,20400,SH,,SOLE,0,0,0,0
PepsiCo Inc.,713448108,2273,27400,SH,,SOLE,0,8010,0,0
Pharmacyclics Inc.,716933106,1005,9505,SH,,SOLE,0,2780,0,0
Pier 1 Imports,720279108,633,27417,SH,,SOLE,0,0,0,0
Pioneer Natural Resources Co.,723787107,1871,10165,SH,,SOLE,0,2970,0,0
PolyOne Corp.,73179P106,749,21192,SH,,SOLE,0,0,0,0
Portfolio Recovery Associates Inc.,73640Q105,389,7360,SH,,SOLE,0,0,0,0
Priceline.com,741503403,1363,1173,SH,,SOLE,0,343,0,0
Pure Cycle Corporation,746228303,455,71895,SH,,SOLE,0,0,0,0
Qlik Technologies Inc.,74733T105,506,19015,SH,,SOLE,0,0,0,0
Qualcomm Inc.,747525103,2626,35370,SH,,SOLE,0,10360,0,0
Questcor Pharmaceuticals Inc.,74835Y101,257,4715,SH,,SOLE,0,0,0,0
Range Resources Corp.,75281A109,1265,15005,SH,,SOLE,0,4375,0,0
Regeneron Pharmaceuticals Inc.,75886F107,911,3310,SH,,SOLE,0,965,0,0
Renasant Corp.,75970E107,1179,37484,SH,,SOLE,0,0,0,0
Resolute Energy Corp.,76116A108,570,63100,SH,,SOLE,0,0,0,0
Restoration Hardware Holdings Inc.,761283100,571,8490,SH,,SOLE,0,0,0,0
Rosetta Resources Inc.,777779307,910,18950,SH,,SOLE,0,0,0,0
SBA Communications Corp.,78388J106,1317,14655,SH,,SOLE,0,4250,0,0
Salesforce.com Inc,79466L302,1525,27640,SH,,SOLE,0,8075,0,0
Sangamo BioSciences Inc.,800677106,700,50405,SH,,SOLE,0,0,0,0
SciQuest Inc.,80908T101,663,23285,SH,,SOLE,0,0,0,0
SeaChange International,811699107,557,45825,SH,,SOLE,0,0,0,0
ServiceNow Inc,81762P102,3,55,SH,,SOLE,0,0,0,0
Sinclair Broadcasting,829226109,665,18620,SH,,SOLE,0,0,0,0
Sonic Automotive Inc.,83545G102,632,25805,SH,,SOLE,0,0,0,0
Southwestern Energy Co.,845467109,3,70,SH,,SOLE,0,0,0,0
Spectranetics Corp.,84760C107,749,29970,SH,,SOLE,0,0,0,0
Spirit Airlines Inc.,848577102,665,14645,SH,,SOLE,0,0,0,0
Splunk Inc.,848637104,605,8810,SH,,SOLE,0,2570,0,0
Starbucks Corp.,855244109,2183,27847,SH,,SOLE,0,8127,0,0
Starwood Hotels & Resorts Worldwide Inc.,85590A401,1328,16720,SH,,SOLE,0,4870,0,0
Stein Mart Inc.,858375108,572,42545,SH,,SOLE,0,0,0,0
Stericycle Inc.,858912108,1204,10360,SH,,SOLE,0,3000,0,0
Steven Madden Ltd.,556269108,472,12890,SH,,SOLE,0,0,0,0
Streamline Health Solutions Inc.,86323X106,739,105850,SH,,SOLE,0,0,0,0
SunPower Corp.,867652406,59,1975,SH,,SOLE,0,0,0,0
T. Rowe Price Group Inc.,74144T108,7,85,SH,,SOLE,0,0,0,0
Teledyne Technologies Inc,879360105,812,8840,SH,,SOLE,0,0,0,0
Tenneco Inc.,880349105,847,14965,SH,,SOLE,0,0,0,0
Texas Instruments Inc,882508104,2057,46840,SH,,SOLE,0,13675,0,0
The ExOne Company,302104104,483,7995,SH,,SOLE,0,0,0,0
The TJX Companies Inc.,872540109,2712,42548,SH,,SOLE,0,12440,0,0
Threold Pharmaceuticals Inc.,885807206,365,78055,SH,,SOLE,0,0,0,0
TiVo Inc.,888706108,620,47265,SH,,SOLE,0,0,0,0
Towers Watson & Co. CI A,891894107,4,35,SH,,SOLE,0,0,0,0
Tractor Supply Company,892356106,5,70,SH,,SOLE,0,0,0,0
Trimble Navigation Ltd,896239100,3,100,SH,,SOLE,0,0,0,0
TripAdvisor Inc.,896945201,3,35,SH,,SOLE,0,0,0,0
USG Corp,903293405,2808,98955,SH,,SOLE,0,19080,0,0
Ultimate Software Group,90385D107,660,4305,SH,,SOLE,0,0,0,0
United Natural Foods,911163103,774,10270,SH,,SOLE,0,0,0,0
United Parcel Service Inc. (Cl B),911312106,1676,15948,SH,,SOLE,0,4668,0,0
United States Steel Corp.,912909108,1548,52470,SH,,SOLE,0,15270,0,0
United Technologies,913017109,2638,23180,SH,,SOLE,0,6775,0,0
VMware Inc.,928563402,1392,15520,SH,,SOLE,0,4545,0,0
Verizon Communications Inc.,92343V104,2441,49670,SH,,SOLE,0,14550,0,0
Vertex Pharmaceuticals Inc.,92532F100,4,50,SH,,SOLE,0,0,0,0
Wabtec,929740108,1434,19310,SH,,SOLE,0,5645,0,0
Walgreen Co.,931422109,1857,32335,SH,,SOLE,0,9470,0,0
Walt Disney Co.,254687106,2143,28045,SH,,SOLE,0,8200,0,0
Waste Connections Inc.,941053100,4,82,SH,,SOLE,0,0,0,0
Wesco Aircraft Holdings Inc.,950814103,712,32470,SH,,SOLE,0,0,0,0
Weyerhaeuser Co.,962166104,5,165,SH,,SOLE,0,0,0,0
Whole Food Market Inc.,966837106,3,50,SH,,SOLE,0,0,0,0
Woodward Inc.,980745103,829,18175,SH,,SOLE,0,0,0,0
Workday Inc.,98138H101,1519,18270,SH,,SOLE,0,5325,0,0
Yahoo Inc.,984332106,1175,29060,SH,,SOLE,0,8515,0,0
